team,FGA_2,FGM_2,FGR_2,FGR_3,FGA_3,FGM_3,FTA,FTM,FTR,AST,BLK,STL,TOV,TOV_team,DREB,OREB,F_tech,F_personal,team_score,opponent_team_score,point_diff,largest_lead,notD1_incomplete,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away,home_away_NS,travel_dist,min,max
missouri_tigers,56.3,25.43333333,0.454973607,0.372333604,20.76666667,8,15.63333333,11.43333333,0.73134328,13.43333333,1.866666667,5.566666667,14.73333333,0.933333333,27.26666667,8.833333333,0.1,15.96666667,70.3,66.93333333,3.36666667,12.86666667,,5,3.862068966,2986.708333,0,565.8275862,,0.066666667,389.9666667,0,2986.708333
lsu_tigers,64,28.67857143,0.448491245,0.344849407,10.17857143,3.428571429,19.64285714,13.07142857,0.66545455,14.17857143,4.107142857,8.25,13.67857143,0.535714286,30,13.53571429,0.107142857,14.5,73.85714286,60.71428571,13.14285715,19.57142857,,5,4.259259259,5447.296296,0.071428571,567.3703704,,0.25,420.3928571,0.071428571,5447.296296
south_carolina_gamecocks,61.5483871,26.74193548,0.438016749,0.315578266,15.09677419,4.774193548,19.41935484,13.03225806,0.67109635,14.19354839,7.774193548,6.290322581,14.64516129,0.709677419,30.96774194,16.67741935,0,13.67741935,71.29032258,51.67741935,19.61290323,25.19354839,,5,3.9,8482.275862,-0.193548387,593.8,,0.129032258,457.6451613,-0.193548387,8482.275862
tennessee_lady_volunteers,63.58064516,26.41935484,0.415849834,0.298011206,14.4516129,4.387096774,19.83870968,12.70967742,0.64065041,14.64516129,5.967741935,6.290322581,17.19354839,0.516129032,31.61290323,16.32258065,0.064516129,15.51612903,69.93548387,60.19354839,9.74193548,17.03225806,,5,3.833333333,6886.137931,-0.225806452,565.9333333,,0.161290323,397.9032258,-0.225806452,6886.137931
auburn_tigers,59.89285714,23.14285714,0.389858813,0.279180487,13.78571429,3.928571429,20.35714286,13.5,0.663157894643767,11.21428571,3.428571429,8.464285714,14.96428571,0.785714286,23.64285714,12.53571429,0.142857143,18.57142857,63.71428571,65.89285714,-2.17857143,9.964285714,,5,4.111111111,2665.074074,0,498.4444444,,0.107142857,271.6428571,0,2665.074074
florida_gators,62,25.32258065,0.409943033,0.302377481,17.61290323,5.516129032,16.77419355,12.35483871,0.73653846,12.61290323,3.387096774,8.870967742,16.80645161,0.451612903,26.96774194,12.35483871,0.161290323,19.51612903,68.51612903,64.61290323,3.90322580,12.48387097,,10,3.833333333,2480.451613,-0.032258065,646.6333333,,0.096774194,547.3548387,-0.032258065,2480.451613
arkansas_razorbacks,63.29032258,25.96774194,0.411408343,0.323014153,25.38709677,8.193548387,20.22580645,13.61290323,0.67304625,12.74193548,4.967741935,7.35483871,11.29032258,0.419354839,26.80645161,11.09677419,0.064516129,16.4516129,73.74193548,65.70967742,8.03225806,16.16129032,,5,3.8,3501.428571,-0.032258065,593.2,,0.193548387,351.6451613,-0.032258065,3501.428571
alabama_crimson_tide,59.16666667,24.53333333,0.417218108,0.335121952,23.2,7.766666667,19.36666667,13.7,0.707401032580482,11.2,3,8.9,15.2,0.7,25.3,12.03333333,0.1,16.9,70.53333333,65.13333333,5.40000000,16.4,,7.5,3.965517241,3167.758621,-0.1,295.2068966,,0.266666667,190.9333333,-0.1,3167.758621
texas_am_aggies,61.37931034,25.06896552,0.411559012,0.366175443,17,6.310344828,17.96551724,12.89655172,0.71785029,13.89655172,4.068965517,5.862068966,15.06896552,0.310344828,26.82758621,12.37931034,0.068965517,18.17241379,69.34482759,67.44827586,1.89655173,14.86206897,,8.333333333,4.035714286,3922.035714,-0.103448276,765.9642857,,0.24137931,693,-0.103448276,3922.035714
mississippi_state_bulldogs,64.10714286,27.39285714,0.429734644,0.33205615,21.25,6.785714286,15.53571429,9.785714286,0.629885057315894,13.39285714,5.214285714,9.178571429,11.82142857,0.714285714,23.78571429,11.82142857,0.071428571,14.67857143,71.35714286,68.46428571,2.89285715,13.5,,,4.222222222,4408.72,-0.035714286,400.3703704,,0.214285714,217.2857143,-0.035714286,4408.72
ole_miss_rebels,61.34482759,25.68965517,0.419366549,0.269821893,11.48275862,3.103448276,19.17241379,12.93103448,0.67446043,14.4137931,4.413793103,9.448275862,14.4137931,0.551724138,24.82758621,14.24137931,0.310344828,17.20689655,67.4137931,56.27586207,11.13793103,18.44827586,,,4.071428571,2830.535714,-0.103448276,623.7142857,,0.137931035,457.137931,-0.103448276,2830.535714
kentucky_wildcats,63.73333333,27.63333333,0.432660692,0.31902997,17.53333333,5.9,16.26666667,11.33333333,0.69672131,15.8,5.633333333,7.966666667,13.96666667,0.466666667,24.56666667,12.8,0.066666667,15.96666667,72.5,65.53333333,6.96666667,15.56666667,,5,4.034482759,5147.142857,-0.1,276.0689655,,0.2,212.5333333,-0.1,5147.142857
ohio_state_buckeyes,64.09090909,31.09090909,0.485293891,0.367670993,22.36363636,7.909090909,18.27272727,13.36363636,0.73134328,17.09090909,4.818181818,8.818181818,13.09090909,0.363636364,29.27272727,10.27272727,0.181818182,14.72727273,83.45454545,55,28.45454545,32.09090909,,,3.8,2671.555556,0,383.1,,0.636363636,333.9090909,0,2671.555556
alabama_crimson_tide,59.16666667,24.53333333,0.417218108,0.335121952,23.2,7.766666667,19.36666667,13.7,0.707401032580482,11.2,3,8.9,15.2,0.7,25.3,12.03333333,0.1,16.9,70.53333333,65.13333333,5.40000000,16.4,,7.5,3.965517241,3167.758621,-0.1,295.2068966,,0.266666667,190.9333333,-0.1,3167.758621
purdue_boilermakers,60.64285714,25.57142857,0.423432057,0.320021004,23.07142857,7.428571429,14.46428571,10.92857143,0.75555556,15.89285714,4.035714286,7.357142857,15.07142857,0.428571429,25.17857143,10.46428571,0,17.75,69.5,67.57142857,1.92857143,12.71428571,,5,4.185185185,3183.37037,0,338.8518519,,0.178571429,174.4642857,0,3183.37037
michigan_state_spartans,58.79310345,25.31034483,0.43082377,0.347984307,18.65517241,6.620689655,17.72413793,12.89655172,0.72762646,17.13793103,3.413793103,7.275862069,14.89655172,0.724137931,25.27586207,11.72413793,0.103448276,16.55172414,70.13793103,66.51724138,3.62068965,12.82758621,,,4.107142857,3356.538462,0,496.5357143,,0.137931035,322.0344828,0,3356.538462
iowa_hawkeyes,61.43333333,31,0.504844226,0.346960256,20.9,7.333333333,18.03333333,15.16666667,0.84103512,19.46666667,3.2,7,14.86666667,0.333333333,29.66666667,8.733333333,0.1,15.63333333,84.5,70.83333333,13.66666667,19.9,,5,4.034482759,6158.035714,0,460.1034483,,0.1,569.3333333,0,6158.035714
northwestern_wildcats,61.66666667,24,0.391513302,0.312076831,19.51851852,6.037037037,18.03703704,12.66666667,0.70225873,14.51851852,4.925925926,10,13.77777778,0.333333333,24.18518519,12.55555556,0.037037037,16.2962963,66.7037037,63.2962963,3.4074074,12.14814815,,5,4.384615385,1954.26087,-0.12,514.8076923,,0.074074074,578.1481481,-0.12,1954.26087
wisconsin_badgers,54.17241379,21.5862069,0.399017465,0.31330677,19.34482759,6.137931034,11.93103448,8.586206897,0.719653179394717,13.13793103,2.586206897,6.689655172,15.20689655,0.689655172,20.93103448,8.793103448,0,15.4137931,57.89655172,67.17241379,-9.27586207,5.689655172,,5,4,2722.357143,0,450.9642857,,0.103448276,309.4482759,0,2722.357143
vanderbilt_commodores,59.25,23.53125,0.398119191,0.312945351,17.3125,5.4375,14.96875,10.21875,0.68267,13.03125,1.875,10.71875,17.03125,0.8125,21.84375,13.75,0.09375,16.375,62.71875,62.53125,0.18750,12.59375,,5,3.677419355,3024,-0.09375,564.2580645,,0.15625,461.3125,-0.09375,3024
maryland_terrapins,71.77777778,32.77777778,0.455889367,0.37022633,18.22222222,6.888888889,16.77777778,12.77777778,0.76158940,17.11111111,2.777777778,8.888888889,10.22222222,0.222222222,27.11111111,16.88888889,0.333333333,15.88888889,85.22222222,61.77777778,23.44444444,29.44444444,,,4.125,4556.875,0,316.125,,0.444444444,112.7777778,0,4556.875
rutgers_scarlet_knights,54.25806452,22.03225806,0.40541524,0.286285372,14.22580645,4.193548387,15.12903226,10.16129032,0.67164179,12.09677419,3.580645161,8.451612903,18.48387097,1.387096774,24.64516129,12.67741935,0.096774194,16.96774194,58.41935484,60,-1.58064516,9.096774194,,5,3.8,1659.814815,-0.064516129,722.1,,0.193548387,652.0645161,-0.064516129,1659.814815
ecclesia_royals,45,10,0.222222222,0.153846154,13,2,25,17,0.68,6,0,6,27,0,20,4,0,7,39,108,-69,5,TRUE,NA,NA,NA,NA,NA,away,0,NA,0,108
philander_smith_panthers,57,20,0.350877193,0.142857143,14,2,17,7,0.411764705882353,9,1,10,16,0,28,10,0,13,49,56,-7,4,TRUE,NA,NA,NA,NA,NA,away,0,NA,0,57
taylor_trojans,59,22,0.372881356,0.269230769,26,7,12,10,0.833333333333333,13,3,6,23,1,32,13,0,10,61,72,-11,5,TRUE,NA,NA,NA,NA,NA,away,0,NA,0,72
illinois_fighting_illini,59.59259259,23.7037037,0.39895112,0.317915404,18.2962963,5.814814815,16.88888889,11.14814815,0.66008772,12.55555556,3.407407407,6.703703704,16.81481481,0.37037037,24.96296296,11.74074074,0.074074074,15.33333333,64.37037037,74.44444444,-10.07407407,7.37037037,,,4.384615385,2077.347826,0.115384615,345.8846154,,0.259259259,235.8888889,0.074074074,2077.347826
michigan_wolverines,58.33333333,26.7037037,0.459305024,0.315268086,14.74074074,4.703703704,20.14814815,15.14814815,0.75183824,13.81481481,2.555555556,6.777777778,15.85185185,0.592592593,27.03703704,12.85185185,0.111111111,16.03703704,73.25925926,61.59259259,11.66666667,20.37037037,,5,4.423076923,3905,0.115384615,492.5384615,,0.185185185,333.8148148,0.111111111,3905
san_diego_state_aztecs,60.64516129,23.70967742,0.392790651,0.347362814,17.83870968,6.064516129,13.67741935,9.161290323,0.669811321022339,11.90322581,2.096774194,7.193548387,12.87096774,0.741935484,26.90322581,10.93548387,0.161290323,16.87096774,62.64516129,63.74193548,-1.09677419,8.935483871,,,3.933333333,911.962963,-0.206896552,438.6551724,,0.064516129,391.3666667,-0.206896552,911.962963
colorado_state_rams,60.4375,25.34375,0.418592134,0.345846999,21.65625,7.5625,14.125,10.9375,0.774336283185841,14.3125,3.125,4.6875,9.5625,0.34375,30.71875,7.0625,0.03125,11.65625,69.1875,62.71875,6.46875,14,,5,3.870967742,1091.666667,-0.166666667,569.9285714,,0.09375,468.5666667,-0.166666667,1091.666667
