team,FGA_2,FGR_2,FGM_2,FGA_3,FGR_3,FGM_3,FTA,FTR,FTM,AST,BLK,STL,TOV,TOV_team,DREB,OREB,F_tech,F_personal,team_score,opponent_team_score,largest_lead,OT_length_min_tot,rest_days,attendance,tz_dif_H_E,prev_game_dist,home_away_NS,travel_dist
abilene_christian_wildcats,32.06666666666667,0.4992204942,15.966666666666667,27.03333333333333,0.3531745191,9.566666666666666,17.46666666666667,0.7636284818666667,13.233333333333334,16.1,1.9333333333333331,7.666666666666666,14.333333333333332,0.6000000000000001,22.6,11.433333333333334,0.26666666666666666,15.966666666666667,73.86666666666667,66.6,16.9,,4.137931034482759,622.4347826086956,-0.08695652173913043,811.409090909091,0.03333333333333333,525.7692307692307
academy_of_art_urban_knights,38.5,0.4329268295,16.5,24.5,0.1607744105,4.0,10.5,0.47222222199999997,5.0,10.5,5.5,9.0,14.5,1.5,23.5,12.0,0.0,16.5,50.0,65.5,2.5,,,,,,0.0,
agnes_scott_college_scotties,38.5,0.2091216215,8.0,12.0,0.17482517499999997,2.0,6.5,0.47222222199999997,3.0,5.0,2.0,4.5,38.0,1.5,20.5,10.0,0.0,11.5,25.0,109.5,0.0,,,,,,0.0,
air_force_falcons,44.193548387096776,0.41595923703225807,18.29032258064516,17.0,0.2851789136774194,5.032258064516129,14.064516129032258,0.7548557188709677,10.387096774193548,12.806451612903226,2.064516129032258,11.161290322580646,13.161290322580646,1.1290322580645162,21.806451612903224,12.419354838709678,0.0967741935483871,17.774193548387096,62.064516129032256,58.16129032258065,11.483870967741936,10.0,3.966666666666667,681.1923076923077,0.0,679.3076923076923,-0.06451612903225806,619.1724137931035
akron_zips,39.25,0.48336634224999997,18.82142857142857,18.75,0.31764626364285714,6.0,16.964285714285715,0.7044813850714285,11.785714285714285,14.392857142857144,3.535714285714286,7.142857142857142,14.928571428571429,0.5,25.5,10.214285714285715,0.14285714285714285,15.571428571428571,67.42857142857143,66.71428571428572,11.535714285714285,,4.518518518518518,874.7692307692307,0.0,208.30769230769232,-0.10714285714285715,128.07407407407408
alabama_am_bulldogs,45.29166666666667,0.40264079350000004,17.958333333333332,12.541666666666668,0.264358905,3.291666666666667,18.25,0.6786356515416667,12.75,11.0,4.625,6.083333333333334,16.291666666666668,0.8333333333333333,26.333333333333336,13.208333333333332,0.04166666666666666,16.791666666666668,58.54166666666667,63.16666666666667,8.583333333333334,10.0,5.217391304347826,816.1304347826086,0.04166666666666666,542.1739130434783,-0.25,416.125
alabama_crimson_tide,35.96666666666667,0.4675274499666667,16.766666666666666,23.200000000000003,0.3351219514,7.7666666666666675,19.366666666666667,0.7085757309666667,13.7,11.2,3.0,8.899999999999999,15.2,0.7,25.299999999999997,12.033333333333333,0.1,16.9,70.53333333333333,65.13333333333334,16.4,7.5,3.9655172413793105,3167.758620689655,-0.1,295.2068965517241,0.26666666666666666,190.93333333333334
alabama_huntsville_chargers,41.0,0.414634146,17.0,17.0,0.176470588,3.0,20.0,0.7,14.0,11.0,1.0,4.0,28.0,1.0,18.0,12.0,0.0,16.0,57.0,107.0,1.0,,,,,,0.0,
alabama_state_lady_hornets,44.275862068965516,0.41601218355172415,18.448275862068964,14.724137931034482,0.29337449396551724,4.379310344827586,20.20689655172414,0.6813731022413793,14.0,13.758620689655173,4.0,7.068965517241379,20.448275862068964,1.1724137931034482,25.82758620689655,14.137931034482758,0.24137931034482757,20.96551724137931,64.03448275862068,68.48275862068967,11.172413793103448,5.0,4.392857142857142,1073.0384615384614,0.0,365.5769230769231,-0.1724137931034483,289.1428571428571
alcorn_state_lady_braves,33.642857142857146,0.3431375742142857,11.785714285714285,20.07142857142857,0.30642085735714286,5.928571428571429,15.0,0.6383755795,9.571428571428573,9.214285714285715,1.5714285714285716,6.7142857142857135,20.5,0.8571428571428572,19.785714285714285,9.214285714285715,0.3571428571428571,22.92857142857143,50.92857142857143,78.78571428571428,3.3571428571428568,,,1800.076923076923,0.0,459.6923076923077,-0.7142857142857142,374.28571428571433
