game_id,description,team_home,team_away,seed_home,seed_away,home_away_NS,rest_days_Home,rest_days_Away,travel_dist_Home,travel_dist_Away,fga_2 home,fgm_2 home,fga_3 home,fgm_3 home,fta home,ftm home,ast home,blk home,stl home,tov home,tov_team home,dreb home,oreb home,f_tech home,f_personal home,team_score home,largest_lead home,notd1_incomplete home,ot_length_min_tot home,attendance home,prev_game_dist home,fga_2 away,fgm_2 away,fga_3 away,fgm_3 away,fta away,ftm away,ast away,blk away,stl away,tov away,tov_team away,dreb away,oreb away,f_tech away,f_personal away,team_score away,largest_lead away,notd1_incomplete away,ot_length_min_tot away,attendance away,prev_game_dist away,Hybrid OVR home,Hybrid OVR away
G_East_1,play-in-game,rhode_island_rams,north_carolina_tar_heels,16,17,0,6,1,0,770,41.46428571,19.32142857,15.03571429,5.107142857,14.64285714,9.821428571,13.85714286,3.035714286,7.857142857,14.35714286,0.785714286,27.53571429,11.75,0.107142857,12.5,63.78571429,18.17857143,0,5.5,1094.378741,382.4446354,47.37037037,21.2962963,18.85185185,5.962962963,19.51851852,13.81481481,14.14814815,3.925925926,9.814814815,13.77777778,0.444444444,28.74074074,14.81481481,0.148148148,15.88888889,74.2962963,26.81481481,0,5.481481481,2552.87425,483.3870293,52.76848118,74.69545527
G_East_2,play-in team A v 1,nc_state_wolfpack,rhode_island_rams,1,16,0,7,1,1440,0,42.625,21.71875,20.0625,7.40625,14.1875,10.71875,14.25,3.03125,7.28125,12.28125,0.21875,30.15625,12,0.09375,13.1875,76.375,23.125,0,5.46875,3944.669344,404.701556,41.46428571,19.32142857,15.03571429,5.107142857,14.64285714,9.821428571,13.85714286,3.035714286,7.857142857,14.35714286,0.785714286,27.53571429,11.75,0.107142857,12.5,63.78571429,18.17857143,0,5.5,1094.378741,382.4446354,69.12911003,52.76848118
G_East_3,play-in team B v 1,nc_state_wolfpack,north_carolina_tar_heels,1,17,0,7,1,1440,770,42.625,21.71875,20.0625,7.40625,14.1875,10.71875,14.25,3.03125,7.28125,12.28125,0.21875,30.15625,12,0.09375,13.1875,76.375,23.125,0,5.46875,3944.669344,404.701556,47.37037037,21.2962963,18.85185185,5.962962963,19.51851852,13.81481481,14.14814815,3.925925926,9.814814815,13.77777778,0.444444444,28.74074074,14.81481481,0.148148148,15.88888889,74.2962963,26.81481481,0,5.481481481,2552.87425,483.3870293,69.12911003,74.69545527
G_East_4,2 v 15,liberty_flames,bucknell_bison,2,15,0,7,10,255,250,38.63333333,20,17.63333333,5.6,15.06666667,10.2,16.36666667,3.8,5.8,15.43333333,0.766666667,29.03333333,13.03333333,0.033333333,16.5,67,21.5,0,5.483333333,778.0938085,431.1566248,40.71875,18.03125,15.8125,5.3125,14.65625,10.4375,13.125,3.34375,7.28125,12,0.46875,26.5,8.34375,0.0625,13.53125,62.4375,15.375,0,5.46875,602.21875,231.326556,73.94600816,33.15093884
G_East_5,3 v 14,drexel_dragons,delaware_blue_hens,3,14,0,11,9,0,680,42.90322581,20.38709677,16.58064516,5.064516129,12.48387097,9.612903226,16.70967742,2.935483871,7.387096774,11.09677419,0.709677419,24.06451613,11.83870968,0.096774194,14,65.58064516,15.48387097,0,5.629032258,860.4718875,464.7887029,51.4,21.6,16.03333333,4.833333333,19.66666667,14.06666667,11.96666667,3.633333333,7.8,13.93333333,0.233333333,27.2,17.2,0.066666667,16.13333333,71.76666667,15.6,0,5.483333333,940.6806336,501.0966527,52.30073542,48.86511179
G_East_6,4 v 13,massachusetts_minutewomen,princeton_tigers,4,13,0,9,7,75,34,43.71875,21.25,18.5,6.03125,16.09375,10.9375,14.5625,2.6875,7.71875,13.46875,0.375,26.65625,13.875,0.03125,14.625,71.53125,15.75,0,5.484375,730.1126485,434.826556,44.18518519,19.40740741,17.92592593,6.296296296,15,11.18518519,13.77777778,2.666666667,10.25925926,13.2962963,0.666666667,25.92592593,13.74074074,0,15.96296296,68.88888889,23.33333333,0,5.481481481,740.8742501,266.8685108,54.33973884,66.00601385
G_East_7,5 v 12,buffalo_bulls,stony_brook_seawolves,5,12,0,8,8,60,3400,48.33333333,22.6969697,17.48484848,5.666666667,18.6969697,13.66666667,14.87878788,3.96969697,9.515151515,13.96969697,0.454545455,27.90909091,14.09090909,0.363636364,14,76.06060606,16.72727273,0,5.46969697,1128.842856,346.7409028,42.10714286,19.57142857,17.39285714,5.357142857,16.96428571,12.85714286,13.14285714,3.178571429,7.357142857,14.89285714,0.607142857,27,12.46428571,0.071428571,14.32142857,68.07142857,16.89285714,0,5.5,595.8073126,244.4446354,58.77949967,48.45142298
G_East_8,6 v 11,fairfield_stags,towson_tigers,6,11,0,7,9,20,220,40.32258065,18.51612903,17.35483871,5.967741935,13.48387097,10.12903226,14.32258065,2.451612903,7.870967742,11.32258065,0.387096774,24.5483871,9,0.032258065,12.48387097,65.06451613,15.4516129,0,5.467741935,738.8972341,273.7241868,45.3,19.96666667,22.16666667,7.033333333,19.13333333,13.43333333,13.73333333,4.666666667,8.166666667,14.26666667,0.366666667,29.16666667,15.73333333,0.633333333,15.73333333,74.46666667,19.56666667,0,5.5,870.8403168,258.5599721,37.53842191,64.67246547
G_East_9,7 v 10,uconn_huskies,campbell_fighting_camels,7,10,0,9,10,15,1966,39.56666667,22.4,20.5,7,12.86666667,8.966666667,18.83333333,4.733333333,9.3,14.13333333,0.566666667,27.76666667,10.9,0.033333333,13.56666667,74.76666667,26.73333333,0,5.5,5480.227142,906.8483264,32.37931034,16,22.79310345,7.482758621,14.79310345,10.06896552,15.65517241,3.482758621,8.482758621,15.96551724,0.793103448,23.44827586,11.37931034,0.034482759,14.65517241,64.51724138,19.27586207,0,5.465517241,831.1668281,200.2309912,85.6123,50.07692463
G_East_10,8 v 9,american_university_eagles,columbia_lions,8,9,0,7,8,350,145,38.51612903,18.48387097,15.09677419,4.129032258,15,10.67741935,14.22580645,2.387096774,8.419354839,15.64516129,0.935483871,23.4516129,8.419354839,0,15.32258065,60.03225806,10.74193548,0,5.467741935,549.8582178,307.9177352,35.53571429,17.14285714,24.71428571,7.785714286,17.75,11.10714286,16.17857143,4.071428571,7.035714286,17.57142857,0.464285714,29.25,13.32142857,0.071428571,16.96428571,68.75,13.89285714,0,5.660714286,692.3721074,228.8732068,36.38135677,62.68987213
